"","UNITID","CONTROL","HIGHDEG"
"1141",146366,1,2
"1142",146393,3,3
"1143",146418,1,2
"1144",146427,2,3
"1145",146454,3,1
"1146",146472,1,2
"1147",146481,2,4
"1148",146490,2,4
"1149",146506,1,2
"1150",146533,2,3
"1151",146603,1,2
"1152",146612,2,4
"1153",146621,2,3
"1154",146667,2,4
"1155",146676,2,3
"1156",146685,1,2
"1157",146700,3,2
"1158",146719,2,4
"1159",146728,2,4
"1160",146755,2,3
"1161",146791,2,1
"1162",146807,3,1
"1163",146816,2,2
"1164",146825,2,3
"1165",146977,2,4
"1166",147004,1,2
"1167",147013,2,4
"1168",147031,2,4
"1169",147129,2,3
"1170",147165,3,3
"1171",147244,2,4
"1172",147341,2,3
"1173",147369,2,4
"1174",147378,1,2
"1175",147396,2,2
"1176",147411,1,2
"1177",147439,3,1
"1178",147536,2,4
"1179",147590,2,4
"1180",147642,3,1
"1181",147660,2,4
"1182",147679,2,4
"1183",147697,2,4
"1184",147703,1,4
"1185",147749,3,2
"1186",147767,2,4
"1187",147776,1,4
"1188",147800,1,2
"1189",147819,3,1
"1190",147828,2,4
"1191",147916,1,2
"1192",147970,3,1
"1193",148007,1,2
"1194",148016,2,3
"1195",148098,3,1
"1196",148131,2,4
"1197",148140,3,2
"1198",148177,3,3
"1199",148256,1,2
"1200",148292,1,2
"1201",148335,2,4
"1202",148380,1,2
"1203",148399,3,2
"1204",148405,2,4
"1205",148487,2,4
"1206",148496,2,4
"1207",148511,2,4
"1208",148575,2,4
"1209",148584,2,4
"1210",148593,2,3
"1211",148627,2,4
"1212",148654,1,4
"1213",148672,1,2
"1214",148724,2,4
"1215",148821,1,2
"1216",148849,2,3
"1217",148876,2,3
"1218",148885,2,4
"1219",148937,1,2
"1220",148955,2,1
"1221",148982,2,4
"1222",148991,1,2
"1223",149019,2,2
"1224",149028,2,4
"1225",149204,3,1
"1226",149222,1,4
"1227",149231,1,4
"1228",149310,3,2
"1229",149329,2,3
"1230",149365,1,2
"1231",149499,3,1
"1232",149505,2,3
"1233",149514,2,4
"1234",149532,1,2
"1235",149550,3,1
"1236",149639,2,4
"1237",149727,1,2
"1238",149763,2,4
"1239",149772,1,4
"1240",149781,2,4
"1241",149842,1,2
"1242",150048,2,2
"1243",150066,2,4
"1244",150075,3,1
"1245",150136,1,4
"1246",150145,2,4
"1247",150163,2,4
"1248",150172,2,4
"1249",150215,2,4
"1250",150251,3,2
"1251",150288,2,4
"1252",150303,3,1
"1253",150400,2,3
"1254",150428,3,1
"1255",150437,3,1
"1256",150455,2,4
"1257",150534,2,4
"1258",150604,2,3
"1259",150640,1,1
"1260",150668,2,4
"1261",150677,2,4
"1262",150695,3,1
"1263",150710,3,1
"1264",150756,2,3
"1265",150765,3,1
"1266",150774,2,3
"1267",150853,3,1
"1268",150941,2,4
"1269",150978,1,2
"1270",150987,1,2
"1271",150996,1,2
"1272",151005,1,2
"1273",151014,1,2
"1274",151023,1,2
"1275",151032,1,2
"1276",151041,1,2
"1277",151050,1,2
"1278",151069,1,2
"1279",151078,1,2
"1280",151087,1,2
"1281",151096,1,2
"1282",151102,1,4
"1283",151111,1,4
"1284",151157,3,2
"1285",151166,3,3
"1286",151193,3,2
"1287",151209,3,3
"1288",151236,3,3
"1289",151245,3,2
"1290",151263,2,4
"1291",151290,2,4
"1292",151306,1,4
"1293",151324,1,4
"1294",151333,1,4
"1295",151342,1,4
"1296",151351,1,4
"1297",151360,1,4
"1298",151379,1,4
"1299",151388,1,4
"1300",151458,3,3
"1301",151467,3,2
"1302",151494,3,3
"1303",151500,3,3
"1304",151519,3,4
"1305",151537,1,1
"1306",151564,3,1
"1307",151607,3,1
"1308",151616,3,3
"1309",151625,3,3
"1310",151652,3,1
"1311",151661,3,2
"1312",151777,2,3
"1313",151786,2,4
"1314",151801,2,4
"1315",151810,2,4
"1316",151829,3,1
"1317",151865,2,4
"1318",151874,3,1
"1319",151944,3,3
"1320",151962,2,3
"1321",152044,3,1
"1322",152080,2,4
"1323",152099,2,4
"1324",152150,3,1
"1325",152220,3,2
"1326",152248,1,4
"1327",152266,1,4
"1328",152275,3,1
"1329",152309,3,1
"1330",152318,2,4
"1331",152327,3,1
"1332",152336,2,4
"1333",152363,2,4
"1334",152381,2,4
"1335",152390,2,3
"1336",152415,3,2
"1337",152424,3,2
"1338",152451,2,4
"1339",152497,2,1
"1340",152530,2,4
"1341",152567,2,4
"1342",152600,2,4
"1343",152628,3,1
"1344",152637,1,3
"1345",152673,2,3
"1346",152798,2,4
"1347",152822,2,3
"1348",152992,2,4
"1349",153001,2,4
"1350",153074,3,1
"1351",153083,3,1
"1352",153092,3,1
"1353",153108,2,3
"1354",153126,2,4
"1355",153144,2,4
